source,target,value
A01C,A01B,1
A01C,C13C,1
A01B,A01D,1
A01B,B60D,1
A01B,A01M,1
A01B,A01G,1
A01D,C13H,1
A01F,B02B,1
A01H,C12N,1
A01H,A01N,1
A01H,A01K,1
A01H,B09C,1
A01J,A23C,1
A01J,B04B,1
A01J,B08B,1
A01J,B25J,1
A01L,B21G,1
A01L,A63K,1
A01L,A61D,1
A01L,A43C,1
A01L,B21K,1
A01L,B23G,1
A01L,B25G,1
A01L,C40B,1
A01L,A46B,1
A01L,B26F,1
A01L,A43B,1
A01L,A61N,1
A01L,A61Q,1
A01L,A45D,1
A01L,B01L,1
A01L,B23D,1
A01L,B29D,1
A01L,A61C,1
A01L,B23B,1
A01L,B22F,1
A01L,A61L,1
A01L,A61B,1
A01P,C05G,1
A22B,A22C,1
A22B,B26B,1
A22B,H05C,1
A22C,A21C,1
A23G,A23D,1
A23K,A23D,1
A23L,A23D,1
A23N,A23F,1
A41D,A41C,1
A43B,A43C,1
A43B,A43D,1
A45C,A43C,1
A45C,A45F,1
A45F,A43C,1
A46B,A46D,1
A47B,A45B,1
A47C,A45B,1
A47F,A41G,1
A47G,A47D,1
A47H,A43C,1
A47J,A23F,1
A47L,A46D,1
A61B,A99Z,1
A61F,A41C,1
A61G,A47D,1
A61H,A47D,1
A61K,A23D,1
A61M,A61D,1
A61P,C07J,1
A61P,C07D,1
A61P,C07H,1
A61P,C07G,1
A61P,C12G,1
A61P,C08B,1
A62B,A47D,1
A62C,A46D,1
A62D,A42C,1
A63B,A43C,1
A63C,A43C,1
A63F,A63D,1
A63G,A63D,1
A63G,A47D,1
A63G,A63J,1
A63H,A63D,1
B01D,A23F,1
B01F,A23D,1
B01J,B01B,1
B02C,B02B,1
B03B,B02B,1
B05B,A24D,1
B05C,A24C,1
B05D,B01B,1
B06B,B02B,1
B07B,B02B,1
B09B,A63K,1
B21D,B21B,1
B21F,A24C,1
B21H,B21G,1
B21H,B21B,1
B21K,B21J,1
B21L,F16G,1
B21L,B23K,1
B21L,B27B,1
B21L,B25B,1
B21L,B23P,1
B21L,B30B,1
B21L,C21D,1
B21L,F02N,1
B21L,F16H,1
B21L,B60C,1
B21L,B22D,1
B21L,B60H,1
B21L,B22C,1
B21L,C25D,1
B21L,C23C,1
B21L,A44C,1
B23C,B23G,1
B23Q,B23F,1
B24C,B23F,1
B25C,B21G,1
B25C,B27F,1
B25D,B25F,1
B25F,B23G,1
B25H,B23G,1
B26D,A21C,1
B27L,A63K,1
B27L,B27C,1
B27L,B27J,1
B28C,A21C,1
B28D,B27C,1
B28D,C03B,1
B29C,A42C,1
B31B,A24C,1
B31F,B27H,1
B31F,B31C,1
B32B,B31C,1
B44D,B41G,1
B60B,A47D,1
B60D,B61G,1
B60D,B60S,1
B60D,B60R,1
B60F,B61J,1
B60F,B60V,1
B60F,B61D,1
B60F,B63C,1
B60F,B61C,1
B60F,B63H,1
B60F,B64C,1
B60F,B63B,1
B60F,B63G,1
B60F,B60M,1
B60F,B63J,1
B60F,B60K,1
B60G,B42B,1
B60J,E05F,1
B60L,B60M,1
B60N,A47D,1
B60P,A63K,1
B60Q,F21W,1
B60T,B61H,1
B60W,G08G,1
B61B,A63K,1
B61B,B61J,1
B62B,B61J,1
B62C,B68B,1
B62C,B68C,1
B62C,F16S,1
B62C,B62K,1
B62C,B62D,1
B62C,B62M,1
B62C,F16B,1
B62C,E02F,1
B62C,B64D,1
B62C,E05B,1
B62C,E21B,1
B62C,G03B,1
B62M,B62L,1
B62M,F01P,1
B62M,F01N,1
B64B,B60V,1
B64B,B64G,1
B64B,G01W,1
B64F,B61J,1
B64G,F03H,1
B65B,B41G,1
B65D,B31C,1
B65G,B61J,1
B65H,B41G,1
B66C,B42B,1
B66C,C13H,1
B66D,B62L,1
B66F,B61J,1
B67D,B67C,1
C01B,B01B,1
C02F,B03D,1
C03C,B41D,1
C04B,A63K,1
C05B,C05D,1
C05B,C05C,1
C05B,C05G,1
C05B,C12F,1
C05B,C05F,1
C05C,C06B,1
C05C,C01C,1
C05C,C05D,1
C05C,C05G,1
C05D,C05G,1
C07C,C07B,1
C07D,C09B,1
C07F,C07B,1
C07K,C12N,1
C07K,C12P,1
C07K,C09H,1
C07K,C08H,1
C07K,G01N,1
C08G,B41D,1
C08H,C09H,1
C08J,C08C,1
C08K,C08C,1
C08L,C08C,1
C09D,C08C,1
C09K,A63K,1
C10F,E21C,1
C10F,F26B,1
C10F,C10L,1
C10F,F01K,1
C10F,F22B,1
C10F,E02B,1
C10F,C25B,1
C10M,C10H,1
C10M,C10N,1
C11B,C06F,1
C12P,C12L,1
C12R,C12J,1
C12R,D01C,1
C12S,C12J,1
C12S,C99Z,1
C22B,C21C,1
C22C,B68B,1
C23D,C25F,1
C23D,H01C,1
D03D,C99Z,1
D03D,D02H,1
D03D,D03J,1
D04B,D02H,1
D06F,B68B,1
D21H,D21D,1
D21H,C09F,1
E01B,B61J,1
E01C,A63K,1
E01F,A63K,1
E01H,D06G,1
E02D,E02C,1
E03B,E02C,1
E03D,E03F,1
E03D,F16K,1
E04B,B27J,1
E04D,E01D,1
E04F,B68F,1
E04G,E02C,1
E04H,A63K,1
E05D,E02C,1
E05F,E05C,1
E06B,D06J,1
E06C,F16M,1
E21F,B61J,1
F01M,F01L,1
F02B,C10H,1
F02B,F01L,1
F02D,C10H,1
F02D,F02M,1
F02F,F01L,1
F02F,F16J,1
F03B,E02C,1
F03D,F03C,1
F03G,F03C,1
F04B,E02C,1
F04C,B23F,1
F15B,E02C,1
F15C,F03H,1
F15C,G06D,1
F16C,B62L,1
F16D,B62L,1
F16D,B61H,1
F16F,B61G,1
F16G,B68B,1
F16K,C12J,1
F16L,E02C,1
F16M,E02C,1
F16N,D03C,1
F16P,D02H,1
F21V,F21H,1
F21Y,C10H,1
F21Y,G02F,1
F21Y,H05B,1
F22B,F22D,1
F22B,F22G,1
F22G,G21D,1
F22G,F28B,1
F22G,F28G,1
F22G,F24S,1
F22G,B01B,1
F23Q,F21H,1
F23Q,C06F,1
F23Q,F02P,1
F24F,F24B,1
F25C,A23D,1
F28D,C13D,1
F28D,F24T,1
F28D,C12L,1
F28F,F24T,1
F41B,A63D,1
F41B,F41C,1
F41H,B68F,1
F41H,F41F,1
F42B,F41F,1
F42B,C06C,1
F42B,F42C,1
G01B,B68B,1
G01C,F41G,1
G01D,B41D,1
G01F,C12L,1
G01G,B61J,1
G01H,F02P,1
G01J,D03C,1
G01L,D02H,1
G01M,B61J,1
G01P,A63K,1
G01R,G01Q,1
G01S,F41J,1
G01V,E02C,1
G02B,F21H,1
G02C,B27J,1
G03H,B41B,1
G05B,C06F,1
G05D,C10H,1
G05D,E02C,1
G05F,H02M,1
G05G,B62L,1
G06F,B99Z,1
G06F,G06D,1
G06G,G06D,1
G06G,G06E,1
G06K,G06E,1
G06M,A63D,1
G06N,G06E,1
G06Q,B99Z,1
G06Q,D99Z,1
G06T,G06E,1
G07B,G06J,1
G07C,A63K,1
G08B,F21H,1
G08C,C06F,1
G08G,G06D,1
G09B,A63K,1
G09G,G09D,1
G10D,G10B,1
G10D,G09D,1
G10D,G10C,1
G10D,G10G,1
G11B,B41G,1
G11C,G06D,1
G11C,H03K,1
G11C,H01L,1
G11C,H02M,1
G21F,F17B,1
H01B,C22F,1
H01H,G10B,1
H01L,C30B,1
H01Q,G04R,1
H01Q,H01P,1
H01R,B61G,1
H01S,G06E,1
H02B,H02G,1
H02G,B61G,1
H02H,G21J,1
H02J,G06D,1
H02K,B61H,1
H02N,F24T,1
H02P,B61H,1
H02S,E02C,1
H02S,B68C,1
H03K,H03D,1
H04B,G21J,1
H04H,H03D,1
H04H,H04N,1
H04L,G99Z,1
H04L,H04J,1
H04M,G06D,1
H04Q,H04J,1
H04R,G10B,1
H04W,G99Z,1
H05K,G21J,1
H05K,F24T,1
A21D,A21C,1
A21D,A23C,1
A21D,A23B,1
A23F,A23D,1
A23F,A24B,1
A23J,A23D,1
A23P,A23D,1
A23P,A21C,1
A24B,A24D,1
A47K,A47D,1
A61J,A47D,1
B02B,A23D,1
B02B,C12C,1
B02B,B07C,1
B02B,B03C,1
B02B,B65F,1
B04C,B03D,1
B21B,B21C,1
B24B,B23F,1
B27K,B27H,1
B27K,B27J,1
B28B,A21C,1
B29B,A21C,1
B42D,B41G,1
B44C,B41G,1
B61C,B61F,1
B62J,A63K,1
B62J,B62H,1
B67B,B27J,1
B67C,C12L,1
C01C,C01D,1
C01C,C01F,1
C01C,C01G,1
C06B,C06C,1
C06B,C06D,1
C06B,C06F,1
C08F,B41D,1
C08F,C08C,1
C09B,C09C,1
C09G,C14C,1
C09G,C23F,1
C09G,C23G,1
C09J,B68F,1
C10B,B61J,1
C10G,C07B,1
C10G,C10C,1
C10J,C10H,1
C10L,C10H,1
C10L,C10K,1
C10N,C10H,1
C11D,C09F,1
C12C,C12F,1
C12C,C12G,1
C12C,C12H,1
C12M,C10H,1
C12M,C12L,1
C12M,C12J,1
C12Q,C12L,1
C13C,C13D,1
C13C,D01B,1
C13D,C13H,1
C13D,C13J,1
C13D,C13F,1
C13D,C13K,1
C13D,C13B,1
C14C,B68F,1
C14C,C14B,1
D01B,C99Z,1
D01B,B27J,1
D01B,D01C,1
D01B,D01G,1
D01D,B68F,1
D01F,C99Z,1
D01G,B27J,1
D01H,D99Z,1
D01H,D02G,1
D04H,B68F,1
D06B,D02H,1
D06M,D02H,1
D21C,C13K,1
D21C,D21B,1
D21D,D21F,1
D21D,D21G,1
D21D,F16T,1
D21D,D21B,1
D21F,D21G,1
E03C,E02C,1
E04C,D06G,1
F01C,B23F,1
F01C,F03C,1
F01C,F02G,1
F01C,F04F,1
F01C,F01D,1
F04D,C12J,1
F17B,F17C,1
F17B,F17D,1
F17B,F24J,1
F17B,G21C,1
F17B,H01M,1
F21K,C06C,1
F21K,H99Z,1
F21S,F21H,1
F23B,F23H,1
F23B,F23G,1
F23B,F24B,1
F23D,F21H,1
F23L,F23H,1
F23R,F21H,1
F24D,E02C,1
F24H,F23H,1
F24J,C12L,1
F24J,F24S,1
F27B,F23H,1
F27D,F23H,1
F27D,C21C,1
G03G,B42B,1
G07F,C06F,1
G07F,A63D,1
G07F,E05G,1
G09F,G09D,1
G21K,G01T,1
H01F,G21B,1
H01J,F21H,1
H01J,G01Q,1
H01T,F02P,1
H03M,H03D,1
H03M,G06J,1
H04J,H04K,1
H05H,H05G,1
H05H,F03H,1
A23D,C11C,1
A45B,A42C,1
A46D,D02J,1
A63D,A63J,1
B21J,B21G,1
B27C,B27F,1
B27C,B27G,1
B27C,B27M,1
B27C,B27D,1
B27C,B27H,1
B27D,B27H,1
B27D,B27M,1
B27J,B27H,1
B27J,B27M,1
B27N,B27H,1
B29K,A42C,1
B41J,B41G,1
B42F,B42B,1
B43M,B42B,1
B60V,H01G,1
B63C,E02C,1
B65C,B42B,1
B66B,B61J,1
C07B,C40B,1
C12G,C12F,1
C12G,C12H,1
C12G,C12L,1
C13B,C12J,1
C13B,C13F,1
C13B,C13K,1
D02G,D02J,1
D02J,D02H,1
D06H,D02H,1
D06H,D06G,1
D21B,C13K,1
D21B,B03D,1
E01D,B61J,1
E05C,C09H,1
F01B,B61H,1
F23J,F21H,1
F23J,F23H,1
F28C,F23H,1
F41A,C06C,1
F41A,F41C,1
F41A,F41F,1
G03C,B41D,1
G04B,G04D,1
H03H,H03D,1
H03L,H03D,1
H05C,F41C,1
H05C,H05F,1
B24D,B23F,1
B31C,B31D,1
B31C,A24C,1
B44F,B42B,1
D03J,D02H,1
D03J,D03C,1
D04C,D03C,1
D04C,D04G,1
D05B,B68F,1
D05B,D05C,1
D06N,B68F,1
D07B,D02H,1
F22D,F16T,1
F23K,F23H,1
F25B,F24T,1
F25D,A42C,1
G01K,C21C,1
G04C,G04G,1
G04C,G04R,1
G04G,G04R,1
A21B,A21C,1
A24D,A24C,1
A24D,A24F,1
A24F,A24C,1
A41G,A41C,1
A41G,D04D,1
A42B,A41C,1
A42B,A42C,1
A44B,A43C,1
A44C,A43C,1
B23H,B23F,1
B27M,B27F,1
B27M,B27H,1
B29L,A42C,1
B33Y,A43C,1
B41C,B41B,1
B41C,B41D,1
B41C,B41N,1
B41F,B41D,1
B41M,B41G,1
B81B,B81C,1
B82B,B41D,1
B82Y,B81C,1
C06D,C06C,1
C06D,F24V,1
C07J,C06F,1
C07J,G21H,1
C08C,C09F,1
C10H,F21L,1
C10H,G10H,1
C10H,F21W,1
C12F,C12H,1
C12F,F25J,1
C12H,C12L,1
C21B,C10K,1
C22F,B21G,1
D04G,D03C,1
D04G,D04D,1
D06C,B41G,1
D06G,D06L,1
D06J,D06Q,1
D06P,B68F,1
D21J,B27H,1
F02K,C06C,1
F15D,F03H,1
F21L,F21H,1
F23C,F21H,1
F23N,F23H,1
F24B,F23H,1
F24C,F21H,1
F41C,F23H,1
F41F,F41G,1
F41F,F42C,1
F41F,F41J,1
F41F,F42D,1
F41J,F41G,1
F42C,C06C,1
F42C,F42D,1
F42D,C06C,1
G03F,B41D,1
G04F,A63K,1
G07D,E05G,1
G10K,G10B,1
G12B,G01Q,1
G21D,G21B,1
G21D,G21C,1
G21G,G21B,1
G21G,G21H,1
G21G,G21J,1
G21H,G01T,1
H01K,F21H,1
H01K,B41D,1
H03J,H03D,1
H03J,G04R,1
C11C,C06F,1
B41B,B41D,1
B41B,G06C,1
B41B,B43L,1
B41B,G03D,1
B81C,B41G,1
G10L,G10G,1
A41B,A41C,1
A41C,A41F,1
A41C,A41H,1
A41C,D04D,1
A41C,A42C,1
A43C,A43D,1
A47D,B68G,1
A63K,B68B,1
B41K,B41G,1
B41K,B41D,1
B41L,B41G,1
B43K,B42C,1
B44B,B41G,1
B61H,B61K,1
B61L,B61G,1
B68B,B68C,1
B68C,B68F,1
C14B,B68F,1
D06Q,B41G,1
E21D,B61J,1
F03H,G21J,1
F03H,G21B,1
F23M,F23H,1
G06C,G06D,1
G16H,H05G,1
B23G,B23F,1
B61F,B61G,1
C06F,H04K,1
B41N,B41G,1
B41N,C25F,1
C25C,C25F,1
D03C,D02H,1
D05C,D02H,1
F02C,E02C,1
G10B,G10C,1
G10B,G10H,1
G10B,G10F,1
G10B,G10G,1
G10B,H04S,1
G10B,H03G,1
G10C,G10F,1
G10C,G10G,1
G10C,G10H,1
H03C,H03D,1
H03D,H03G,1
H04K,G09C,1
B61G,B61J,1
B61G,B61K,1
D04D,D02H,1
B27H,C12L,1
H03B,G06J,1
G10H,G10F,1
G10H,G10G,1
B23F,G04D,1
G10F,G10G,1
H03F,F21H,1
B42B,B42C,1
B42C,B41G,1
G07G,G06J,1
B61K,B61J,1
